City,Country,Date,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness
Hermanus,ZA,1640605066,-34.4187,19.2345,22.17,74,8.64,100
Saint Paul Harbor,US,1640605067,57.79,-152.4072,4.86,84,4.85,69
Avarua,CK,1640604893,-21.2078,-159.775,23.03,78,1.03,53
Port Alfred,ZA,1640605067,-33.5906,26.891,23.0,82,6.18,91
Yellowknife,CA,1640605068,62.456,-114.3525,-30.33,94,4.63,90
Cap Malheureux,MU,1640605068,-19.9842,57.6142,27.27,84,3.13,63
Auki,SB,1640605069,-8.7676,160.7034,26.76,87,3.15,99
Albany,US,1640605069,42.6001,-73.9662,-1.78,77,1.34,38
Rikitea,PF,1640605070,-23.1203,-134.9692,22.97,95,11.79,100
Provideniya,RU,1640605070,64.3833,-173.3,-16.81,81,5.14,97
Butaritari,KI,1640605071,3.0707,172.7902,27.48,78,4.7,44
Bluff,NZ,1640605072,-46.6,168.3333,12.11,70,3.39,91
Hofn,IS,1640605073,64.2539,-15.2082,0.01,59,10.8,20
Ayan,RU,1640605074,56.45,138.1667,-27.95,72,5.77,10
Vaini,TO,1640605074,-21.2,-175.2,24.09,94,0.0,75
Ushuaia,AR,1640605075,-54.8,-68.3,5.81,87,8.75,90
Sobolevo,RU,1640605075,54.4299,31.8996,-7.48,92,4.27,51
Fairbanks,US,1640605076,64.8378,-147.7164,3.98,92,3.58,90
Klaksvík,FO,1640605076,62.2266,-6.589,5.51,93,11.38,100
Mataura,NZ,1640605077,-46.1927,168.8643,11.93,94,0.75,97
Port Moresby,PG,1640605077,-9.4431,147.1797,26.68,78,2.57,75
Lorengau,PG,1640605078,-2.0226,147.2712,28.39,77,4.08,98
Kahului,US,1640605078,20.8947,-156.47,22.01,67,4.63,1
Deputatsky,RU,1640605079,69.3,139.9,-33.21,98,2.27,98
Ucluelet,CA,1640605079,48.9329,-125.5528,-7.33,43,2.67,2
Kaitangata,NZ,1640605080,-46.2817,169.8464,9.65,94,1.88,100
Chui,UY,1640605080,-33.6971,-53.4616,22.35,53,2.56,0
Chilca,PE,1640605080,-12.5211,-76.7372,20.09,90,2.42,90
Acapulco de Juárez,MX,1640605081,16.8634,-99.8901,22.9,88,2.06,40
Honiara,SB,1640604838,-9.4333,159.95,26.89,86,1.33,100
Salalah,OM,1640605082,17.0151,54.0924,26.05,61,4.63,0
Hithadhoo,MV,1640605082,-0.6,73.0833,28.08,67,5.27,26
Busselton,AU,1640604830,-33.65,115.3333,27.78,35,3.85,24
Pombia,IT,1640605083,45.653,8.6336,8.52,90,1.54,90
Atuona,PF,1640605084,-9.8,-139.0333,25.77,76,6.87,37
Coquimbo,CL,1640604823,-29.9533,-71.3436,16.85,88,1.03,90
Bengkulu,ID,1640605085,-3.8004,102.2655,25.86,86,2.02,70
Nanortalik,GL,1640605085,60.1432,-45.2371,-2.3,70,1.67,75
Thompson,CA,1640605086,55.7435,-97.8558,-28.91,76,2.57,90
Bethel,US,1640605087,41.3712,-73.414,0.32,72,0.45,1
Cherskiy,RU,1640605087,68.75,161.3,-38.42,100,2.27,100
Bredasdorp,ZA,1640605088,-34.5322,20.0403,22.62,68,3.09,100
Ponta do Sol,PT,1640605088,32.6667,-17.1,21.51,83,2.28,94
Bonavista,CA,1640605089,48.6499,-53.1147,2.29,96,14.22,100
Lebu,CL,1640605089,-37.6167,-73.65,15.89,81,6.37,28
Hobart,AU,1640604929,-42.8794,147.3294,12.92,78,0.45,20
Calama,CL,1640605090,-22.4667,-68.9333,17.96,28,1.88,4
Murray Bridge,AU,1640604856,-35.1167,139.2667,18.16,47,5.19,0
Preston,GB,1640605091,53.7667,-2.7167,7.8,91,3.35,97
Puerto Ayora,EC,1640605092,-0.7393,-90.3518,20.66,88,3.29,100
Longyearbyen,SJ,1640605092,78.2186,15.6401,-10.09,67,5.66,0
Punta Arenas,CL,1640605093,-53.15,-70.9167,8.06,81,7.72,20
Ramona,US,1640605093,33.0417,-116.8681,8.81,90,0.0,90
Mikhaylovka,RU,1640605093,50.06,43.2379,-7.9,95,1.58,7
Qaanaaq,GL,1640605094,77.484,-69.3632,-22.27,69,3.35,11
Nikolskoye,RU,1640605094,59.7035,30.7861,-9.06,98,1.28,54
Kavieng,PG,1640605095,-2.5744,150.7967,28.52,78,4.24,100
Cidreira,BR,1640605001,-30.1811,-50.2056,24.75,59,2.47,5
Maniitsoq,GL,1640605097,65.4167,-52.9,-5.1,59,2.12,5
Tessalit,ML,1640605097,20.1986,1.0114,25.94,15,5.59,0
Tsogni,GA,1640605098,-2.7942,10.0988,28.69,66,4.37,82
Henties Bay,NA,1640605098,-22.116,14.2845,20.48,62,5.63,67
Ilulissat,GL,1640605099,69.2167,-51.1,-6.99,49,1.03,40
Dikson,RU,1640605099,73.5069,80.5464,-18.2,77,9.93,74
Westport,US,1640605100,41.1415,-73.3579,1.66,75,1.79,1
Cape Town,ZA,1640605023,-33.9258,18.4232,23.27,78,0.89,75
Dzierżoniów,PL,1640605100,50.7282,16.6514,3.85,66,2.0,25
Tuktoyaktuk,CA,1640605101,69.4541,-133.0374,-15.65,95,2.87,100
Sangar,RU,1640605101,63.9242,127.4739,-45.47,99,0.59,70
San Jerónimo,PE,1640605102,-11.9472,-75.2829,10.54,64,0.63,100
Wajid,SO,1640605102,3.8093,43.2471,35.08,24,6.96,79
Saskylakh,RU,1640605103,71.9167,114.0833,-27.61,97,3.58,71
Pajapan,MX,1640605103,18.25,-94.7,19.15,92,0.54,3
Wasilla,US,1640605104,61.5814,-149.4394,5.96,94,0.0,90
Bud,US,1640605104,39.447,-86.1758,18.16,96,6.53,100
Şabyā,SA,1640605105,17.1495,42.6254,29.79,55,4.86,24
College,US,1640605105,64.8569,-147.8028,3.97,92,7.2,90
Ayagoz,KZ,1640604883,47.9714,80.4392,-11.62,99,1.85,97
Davila,PH,1640605106,18.4726,120.5763,24.99,78,12.86,87
Gao,ML,1640605107,16.6362,1.637,27.93,10,7.94,9
Vardø,NO,1640605107,70.3705,31.1107,-5.01,80,5.14,40
Souillac,MU,1640605108,-20.5167,57.5167,27.21,78,5.14,75
Bogalusa,US,1640605108,30.791,-89.8487,19.29,88,0.0,90
Tuatapere,NZ,1640605108,-46.1333,167.6833,12.12,88,2.05,98
Ribeira Grande,PT,1640604904,38.5167,-28.7,19.22,82,12.35,40
Zhezkazgan,KZ,1640605109,47.8043,67.7144,-10.01,79,4.0,0
Atikokan,CA,1640605110,48.7555,-91.6216,-7.3,90,5.88,100
Labuhan,ID,1640605110,-6.8844,112.2051,27.47,79,3.66,95
Jamestown,US,1640605111,42.097,-79.2353,0.01,83,0.45,90
Lüderitz,NA,1640604966,-26.6481,15.1594,22.29,62,5.92,30
Ekhabi,RU,1640605112,53.5102,142.9671,-23.15,91,9.98,100
Townsville,AU,1640604917,-19.25,146.8,27.49,78,1.03,75
Vestmannaeyjar,IS,1640605113,63.4427,-20.2734,1.55,80,3.09,40
Mount Gambier,AU,1640605113,-37.8333,140.7667,12.95,67,6.17,90
Castro,BR,1640604862,-24.7911,-50.0119,23.19,57,2.46,48
Inta,RU,1640605114,66.0317,60.1659,-21.15,88,3.37,59
Harper,LR,1640605115,4.375,-7.7169,29.47,67,1.98,32
Shimoda,JP,1640605115,34.6667,138.95,2.28,72,12.38,2
Rādhanpur,IN,1640605117,23.8333,71.6,25.26,51,0.75,100
Bac Lieu,VN,1640605117,9.285,105.7244,25.36,84,3.45,93
Torbay,CA,1640605117,47.6666,-52.7314,1.99,96,9.26,90
Sisimiut,GL,1640605118,66.9395,-53.6735,-9.05,72,2.46,73
Qidong,CN,1640605118,31.8128,121.6561,3.29,40,1.88,24
Chipata,ZM,1640605119,-13.6333,32.65,33.76,21,3.75,42
Igrim,RU,1640605119,63.1906,64.4162,-13.17,95,2.97,100
Severo-Kuril'sk,RU,1640605120,50.6789,156.125,-1.47,87,5.23,92
Shelburne,CA,1640605120,44.0787,-80.2041,-6.04,94,6.02,100
Qingdao,CN,1640604724,36.0986,120.3719,0.78,32,2.0,0
Barrow,US,1640605122,71.2906,-156.7887,-20.99,71,6.69,90
Polunochnoye,RU,1640605123,60.8697,60.4153,-17.52,99,0.18,100
Bambous Virieux,MU,1640605123,-20.3428,57.7575,27.14,78,5.14,75
Hirara,JP,1640605044,24.8,125.2833,15.15,88,6.17,75
Neuquén,AR,1640605124,-38.9516,-68.0591,23.94,29,3.09,0
New Norfolk,AU,1640605125,-42.7826,147.0587,12.72,65,0.6,91
Saldanha,ZA,1640604867,-33.0117,17.9442,21.03,78,4.86,100
Kapaa,US,1640605126,22.0752,-159.319,23.18,74,0.89,20
Iqaluit,CA,1640605126,63.7506,-68.5145,-10.15,85,1.03,90
Evinayong,GQ,1640605127,1.4368,10.5512,26.55,68,1.07,99
Narsaq,GL,1640605127,60.9167,-46.05,-2.88,59,3.35,0
George Town,MY,1640605127,5.4112,100.3354,31.97,58,3.09,20
Mayumba,GA,1640605128,-3.432,10.6554,27.75,74,5.74,96
Lakes Entrance,AU,1640605128,-37.8811,147.981,15.32,75,3.28,64
Skerries,IE,1640605129,53.5828,-6.1083,10.0,100,6.44,100
Isangel,VU,1640605129,-19.55,169.2667,26.48,84,1.79,91
Bereket,TM,1640605130,39.2446,55.5154,9.15,44,5.89,2
Nelson Bay,AU,1640605130,-32.7167,152.15,21.67,77,0.89,100
Kavaratti,IN,1640605131,10.5669,72.642,27.24,68,2.66,18
Starokostiantyniv,UA,1640605132,49.7576,27.2034,-4.81,78,3.59,17
Willowmore,ZA,1640605132,-33.2926,23.4895,18.87,80,10.69,84
Upernavik,GL,1640605133,72.7868,-56.1549,-22.05,89,5.53,91
Latung,PH,1640605133,5.5,120.8833,27.7,72,2.21,100
Walvis Bay,NA,1640605134,-22.9575,14.5053,24.53,53,5.14,11
Naliya,IN,1640605134,23.2667,68.8333,25.61,45,4.36,89
Champerico,GT,1640605135,14.3,-91.9167,25.02,77,3.07,0
Charters Towers,AU,1640605135,-20.1,146.2667,25.14,70,3.88,100
Tayu,ID,1640605136,-6.5397,111.0518,26.65,86,3.48,81
Saint Anthony,US,1640605136,45.0205,-93.218,0.7,94,2.68,90
Ostrovnoy,RU,1640605137,68.0531,39.5131,-12.49,86,4.66,100
Batagay,RU,1640605137,67.6333,134.6333,-41.7,99,0.94,99
Praia,CV,1640605138,14.9215,-23.5087,28.3,34,7.2,0
Vuktyl,RU,1640605138,63.8567,57.3094,-15.94,83,3.84,95
Bara,NG,1640605139,10.3744,10.7288,29.88,13,4.75,29
Ürümqi,CN,1640605139,43.801,87.6005,-12.47,85,1.0,42
Esim,GH,1640605140,4.8699,-2.2405,29.21,68,2.54,82
Aitape,PG,1640605140,-3.1374,142.3475,26.44,87,3.19,79
Zarechnyy,RU,1640605141,53.2036,45.1923,-13.8,91,3.08,20
Jieznas,LT,1640605141,54.6,24.1667,-4.23,92,2.34,18
Alofi,NU,1640605142,-19.0595,-169.9187,22.94,94,0.51,75
Khor,RU,1640605142,47.8861,134.9464,-34.16,100,1.77,52
Chara,RU,1640605142,56.9064,118.2631,-24.64,100,0.57,96
Acaraú,BR,1640604883,-2.8856,-40.12,27.07,78,4.99,92
Oktyabr'skoye,RU,1640605143,43.0645,44.7417,10.08,40,2.0,84
Soma,TR,1640605144,39.1855,27.6094,17.1,63,3.88,66
Angoche,MZ,1640605144,-16.2325,39.9086,31.12,65,5.93,71
Fort Nelson,CA,1640605145,58.8053,-122.7002,-37.23,67,1.03,40
Belmonte,BR,1640605145,-15.8631,-38.8828,25.28,73,5.56,74
Yakeshi,CN,1640605146,49.2833,120.7333,-28.76,98,1.35,46
Pleasanton,US,1640605146,37.6624,-121.8747,9.65,91,1.34,20
Lavrentiya,RU,1640605147,65.5833,-171.0,-22.45,89,1.77,49
West Odessa,US,1640605147,31.8424,-102.4988,13.92,47,3.09,1
Mahajanga,MG,1640605148,-15.7167,46.3167,34.01,59,5.66,20
Sørland,NO,1640605149,67.667,12.6934,-2.96,58,6.89,82
Sola,VU,1640605150,-13.8833,167.55,28.05,72,2.63,91
Dourbali,TD,1640604912,11.8091,15.8632,31.62,13,5.62,32
Wagar,SD,1640605151,16.1525,36.2032,32.73,29,5.44,55
Portland,US,1640605151,45.5234,-122.6762,1.03,93,1.79,90
Mackay,AU,1640605152,-21.15,149.2,26.99,78,4.63,90
Pangnirtung,CA,1640605152,66.1451,-65.7125,-16.55,64,2.68,52
Porto-Novo,BJ,1640605154,6.4965,2.6036,31.9,42,2.93,36
Menongue,AO,1640605154,-14.6585,17.691,25.46,60,4.44,100
Faanui,PF,1640605155,-16.4833,-151.75,25.57,74,1.2,69
Gijón,ES,1640605155,43.5357,-5.6615,19.44,60,5.36,78
Tokur,RU,1640605156,53.1333,132.9,-38.0,100,0.87,43
Mahébourg,MU,1640605157,-20.4081,57.7,27.16,78,5.14,75
Talavera de la Reina,ES,1640605157,39.9635,-4.8308,15.34,74,8.6,58
Atar,MR,1640605158,20.5169,-13.0499,28.03,14,6.04,69
Airai,TL,1640605158,-8.9266,125.4092,15.25,93,1.03,100
Zaozyornoye,UA,1640605158,45.1582,33.2787,8.3,94,7.72,100
Honolulu,US,1640605124,21.3069,-157.8583,22.95,73,0.89,20
Carnarvon,AU,1640605159,-24.8667,113.6333,25.04,83,7.2,100
Saint-Philippe,RE,1640605160,-21.3585,55.7679,26.77,86,6.35,100
Port Blair,IN,1640605097,11.6667,92.75,26.52,76,5.69,13
Rocha,UY,1640604862,-34.4833,-54.3333,22.27,46,2.78,0
Asău,RO,1640605162,46.4333,26.4,-1.14,95,1.5,100
Praia,CV,1640605162,14.9215,-23.5087,28.3,34,7.2,0
Mar del Plata,AR,1640605162,-38.0023,-57.5575,18.26,80,0.89,0
Alta,NO,1640605164,69.9689,23.2717,-11.41,92,2.06,0
Chokurdakh,RU,1640605164,70.6333,147.9167,-31.25,98,2.82,99
Oytal,KZ,1640605165,42.9057,73.2697,0.14,87,2.17,100
Nova Olímpia,BR,1640605165,-14.7972,-57.2881,27.29,76,0.79,15
Hasaki,JP,1640605166,35.7333,140.8333,-1.78,31,3.33,41
Trincomalee,LK,1640605166,8.5711,81.2335,26.93,65,4.55,4
Karaton,ID,1640605167,-6.3424,106.1045,29.98,86,0.6,85
Arlit,NE,1640605167,18.7369,7.3853,27.82,10,5.7,0
Grand Falls,CA,1640605168,47.0461,-67.7418,-5.69,94,3.49,27
Constitución,CL,1640604883,-35.3333,-72.4167,18.69,64,1.08,60
Puerto Baquerizo Moreno,EC,1640605168,-0.9,-89.6,21.11,83,4.82,100
Pemba,MZ,1640605169,-12.974,40.5178,32.39,62,4.63,75
Fujin,CN,1640605169,47.26,132.0322,-25.54,91,3.62,9
Ulladulla,AU,1640605170,-35.35,150.4667,15.5,83,4.33,100
Elliot Lake,CA,1640605170,46.3834,-82.6331,-10.95,71,4.22,100
Srednekolymsk,RU,1640605171,67.45,153.6833,-34.36,98,3.45,98
Katsuura,JP,1640605172,35.1333,140.3,7.33,46,3.3,5
Cabo San Lucas,MX,1640605173,22.8909,-109.9124,22.51,77,3.17,1
Kumul,CN,1640605173,42.8,93.45,-4.69,29,0.76,70
Omboué,GA,1640605174,-1.5746,9.2618,28.91,66,4.49,85
Russell,US,1640605174,32.3502,-85.1999,17.6,97,2.06,40
Kuntaur,GM,1640605175,13.6667,-14.8833,35.03,9,5.34,54
Dossor,KZ,1640605175,47.5272,52.9811,1.04,95,3.53,100
Petropavlovsk-Kamchatskiy,RU,1640604886,53.0452,158.6483,-0.67,93,4.0,90
Nikolayevsk-on-Amur,RU,1640605176,53.1406,140.73,-25.01,79,3.82,3
Benghazi,LY,1640605176,32.1167,20.0667,17.28,55,8.63,88
Fortuna,US,1640605177,40.5982,-124.1573,7.59,96,0.0,90
Marshall,US,1640605177,34.3834,-86.3333,18.96,86,0.89,90
Kruisfontein,ZA,1640605178,-34.0033,24.7314,18.09,93,10.62,80
Hanamaki,JP,1640605178,39.3833,141.1167,-4.61,86,4.54,90
Hobyo,SO,1640605179,5.3505,48.5268,28.19,61,8.74,86
Bairiki Village,KI,1640605179,1.3292,172.9752,27.0,83,4.63,40
Bangui,CF,1640605180,4.3612,18.555,31.1,58,2.06,40
Cocachacra,PE,1640605180,-17.0883,-71.7575,21.84,85,1.41,99
Boden,SE,1640605181,65.8252,21.6886,-12.0,96,1.48,40
Hilo,US,1640605182,19.7297,-155.09,20.71,43,4.12,90
San Patricio,US,1640605182,28.017,-97.5169,22.92,87,6.62,50
Emerald,AU,1640605183,-23.5333,148.1667,23.08,100,0.0,83
Hay River,CA,1640605183,60.8156,-115.7999,-33.01,75,4.12,1
Camabatela,AO,1640605184,-8.1881,15.375,18.12,99,1.8,100
Norman Wells,CA,1640605184,65.282,-126.8329,-18.98,78,5.14,90
Kiryat Gat,IL,1640605185,31.61,34.7642,20.43,43,3.53,0
Saint-Joseph,RE,1640605186,-21.3667,55.6167,26.21,83,6.96,90
Vientiane,LA,1640605170,17.9667,102.6,27.03,73,1.03,20
Uglovka,RU,1640605187,58.2392,33.5108,-10.56,93,3.56,96
Hanzhong,CN,1640605187,33.0728,107.0303,2.23,51,0.48,86
Shaowu,CN,1640605188,27.3409,117.4831,4.91,84,0.78,94
Poum,NC,1640605189,-20.2333,164.0167,27.49,82,6.24,100
Nioro,GM,1640605189,13.35,-15.75,35.2,9,5.44,45
Sistranda,NO,1640605190,63.7256,8.834,1.06,69,3.27,100
Preobrazheniye,RU,1640605190,42.9019,133.9064,-15.23,59,4.32,33
Talnakh,RU,1640605191,69.4865,88.3972,-24.78,93,3.74,28
Manavālakurichi,IN,1640605191,8.1333,77.3,31.05,62,4.9,1
Novoagansk,RU,1640605192,61.9449,76.6625,-18.87,84,4.6,63
Arraial do Cabo,BR,1640605193,-22.9661,-42.0278,26.98,69,4.63,0
Martapura,ID,1640605021,-3.4167,114.85,25.05,94,1.03,20
Hambantota,LK,1640605193,6.1241,81.1185,30.19,70,3.6,20
Viedma,AR,1640605194,-40.8135,-62.9967,25.44,24,4.77,1
Sitka,US,1640605195,57.0531,-135.33,-0.06,80,5.14,90
Buala,SB,1640605195,-8.145,159.5921,27.5,83,3.67,100
Águas Belas,BR,1640605196,-9.1114,-37.1231,26.11,67,3.17,95
Calbuco,CL,1640605196,-41.768,-73.1273,13.56,91,1.74,33
Tromsø,NO,1640605197,69.6496,18.957,-1.99,80,4.12,75
Alta Floresta,BR,1640605197,-9.8756,-56.0861,23.87,95,1.64,94
Basarabeasca,MD,1640605198,46.3311,28.9728,-2.71,95,5.42,100
Grand Gaube,MU,1640605198,-20.0064,57.6608,27.22,83,2.24,62
Mount Isa,AU,1640605199,-20.7333,139.5,32.87,29,2.06,75
Ziarat,PK,1640605199,30.3823,67.7282,3.51,30,2.47,72
Nome,US,1640605199,64.5011,-165.4064,-10.96,85,0.0,90
San Ignacio,BZ,1640605200,17.1561,-89.0714,17.08,94,0.0,0
Itaituba,BR,1640605200,-4.2761,-55.9836,26.09,94,0.0,75
Baytown,US,1640605201,29.7355,-94.9774,21.73,91,2.74,92
Olinda,BR,1640605202,-8.0089,-34.8553,28.85,74,4.12,75
Thinadhoo,MV,1640605202,0.5333,72.9333,27.43,73,5.79,29
Avera,US,1640605203,33.194,-82.5271,14.27,97,2.76,5
Port Elizabeth,ZA,1640605203,-33.918,25.5701,19.16,88,8.75,20
Plouzané,FR,1640605204,48.3833,-4.6167,13.18,88,10.29,90
Metro,ID,1640605204,-5.1131,105.3067,26.13,84,1.95,70
Siguiri,GN,1640605205,11.6667,-9.5,32.1,11,3.03,79
Krasnyy Yar,RU,1640605205,46.5331,48.3456,4.96,93,2.65,100
Dunedin,NZ,1640605206,-45.8742,170.5036,9.89,99,2.73,100
San Cristobal,VE,1640605206,7.7669,-72.225,19.1,90,0.49,79
Alugan,PH,1640605207,12.2188,125.4808,25.62,85,8.57,91
Kaeo,NZ,1640605207,-35.1,173.7833,21.29,93,1.1,100
Sfântu Gheorghe,RO,1640605208,45.8667,25.7833,5.15,93,2.12,100
Papara,BR,1640605208,-3.9839,-38.7273,28.22,81,2.09,100
Okha,RU,1640605209,53.5739,142.9478,-22.89,91,10.1,100
Tilichiki,RU,1640605209,60.4667,166.1,-24.83,89,6.01,85
Margate,GB,1640605210,51.3813,1.3862,10.17,96,0.89,100
Grindavik,IS,1640605211,63.8424,-22.4338,-1.74,80,2.06,0
Kango,GA,1640605212,0.1943,10.0951,34.28,49,0.74,97
Denpasar,ID,1640605061,-8.65,115.2167,28.81,79,5.66,40
Mitsamiouli,KM,1640605214,-11.3847,43.2844,32.16,62,5.66,20
Belen,TR,1640605215,36.4891,36.2233,9.08,58,0.51,40
Khani,GE,1640605216,41.9563,42.9566,7.76,95,2.76,93
Coyhaique,CL,1640605216,-45.5752,-72.0662,16.97,63,3.09,73
Uvalde,US,1640605216,29.3669,-99.767,18.44,78,2.57,90
