City,Country,Date,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness
Tairua,NZ,1640605217,-37.0167,175.85,20.05,94,2.44,79
Monte Azul,BR,1640605218,-15.155,-42.8747,21.66,95,1.71,95
Faya,SA,1640605218,18.3851,42.4509,21.06,44,4.61,54
Tabou,CI,1640604960,4.423,-7.3528,29.6,67,2.21,65
Teguise,ES,1640605220,29.0605,-13.564,18.12,77,3.09,75
Tarakan,ID,1640605221,3.3,117.6333,26.72,89,1.54,20
Ambilobe,MG,1640605221,-13.2,49.05,33.24,42,4.72,95
Suntar,RU,1640605222,62.1444,117.6319,-27.93,99,1.7,100
Ukiah,US,1640605222,39.1502,-123.2078,6.46,93,1.54,90
Dudinka,RU,1640605222,69.4058,86.1778,-28.22,99,3.2,44
Touros,BR,1640605223,-5.1989,-35.4608,27.5,70,5.84,70
Oussouye,SN,1640605224,12.485,-16.5469,30.1,15,4.19,70
Ugoofaaru,MV,1640605224,5.6667,73.0,27.6,72,8.2,8
Contamana,PE,1640605225,-7.3333,-75.0167,26.09,76,1.6,75
Antalaha,MG,1640605226,-14.9003,50.2788,28.98,61,3.26,100
Aljezur,PT,1640605227,37.3191,-8.8033,18.29,89,4.3,63
Jalu,LY,1640605228,29.0331,21.5482,17.13,38,2.97,100
Zdvinsk,RU,1640605228,54.7021,78.661,-16.35,98,3.35,88
Lompoc,US,1640605229,34.6391,-120.4579,8.21,84,2.57,20
Calatayud,ES,1640605229,41.3535,-1.6432,22.32,56,12.55,58
Tura,IN,1640605230,25.5198,90.2201,15.2,64,1.25,14
Seddon,AU,1640605230,-37.8068,144.8916,17.2,66,1.79,0
Loikaw,MM,1640605232,19.6742,97.2094,16.74,59,1.95,0
Pale,BA,1640605232,43.8161,18.5694,2.86,100,1.54,75
Chifeng,CN,1640605233,42.2683,118.9636,-9.85,55,2.51,0
Auckland,NZ,1640605213,-36.8667,174.7667,21.51,88,4.02,90
Akureyri,IS,1640605234,65.6835,-18.0878,-2.04,80,2.57,75
Koumra,TD,1640605234,8.9126,17.5539,37.27,12,2.14,40
Vostok,RU,1640605235,46.4856,135.8833,-28.77,99,1.65,100
Cockburn Town,TC,1640605235,21.4612,-71.1419,22.98,73,15.43,40
Saint George,US,1640605236,37.1041,-113.5841,4.74,74,2.24,20
Mossamedes,AO,1640605237,-15.1961,12.1522,25.35,65,5.66,0
Lata,PT,1640605237,40.1629,-8.3327,17.82,77,4.29,51
Geraldton,AU,1640605151,-28.7667,114.6,30.23,37,5.66,59
Arrondissement de Bar-le-Duc,FR,1640605239,48.75,5.1667,9.97,90,5.95,100
Broken Hill,AU,1640605240,-31.95,141.4333,23.84,19,5.14,0
Yar-Sale,RU,1640605240,66.8333,70.8333,-15.44,91,7.81,100
Quatre Cocos,MU,1640605241,-20.2078,57.7625,27.06,78,6.76,85
Beloha,MG,1640605241,-25.1667,45.05,28.55,56,7.65,72
Morro Bay,US,1640605242,35.3658,-120.8499,9.34,90,1.79,68
Svetlaya,RU,1640605242,46.5389,138.3297,-18.56,78,4.4,49
Lanxi,CN,1640605243,29.2195,119.477,2.81,48,1.74,46
Tasiilaq,GL,1640605243,65.6145,-37.6368,-9.91,61,2.28,1
Port Hedland,AU,1640605244,-20.3167,118.5667,35.03,46,5.14,78
Dingle,PH,1640605244,10.9995,122.6711,23.59,93,4.35,85
Eureka,US,1640605245,40.8021,-124.1637,7.74,88,3.13,100
Hamilton,US,1640605215,39.1834,-84.5333,16.11,91,0.89,90
Oranjemund,NA,1640605246,-28.55,16.4333,22.34,59,7.23,55
Northam,GB,1640605247,51.0333,-4.2167,13.34,95,7.46,100
Maragogi,BR,1640605247,-9.0122,-35.2225,26.05,84,4.61,97
Tiksi,RU,1640605248,71.6872,128.8694,-24.4,100,1.79,99
Ambon City,ID,1640604994,-3.6954,128.1814,29.08,74,1.54,40
Beaverlodge,CA,1640605249,55.2166,-119.4361,-37.36,99,1.68,11
Los Llanos de Aridane,ES,1640605249,28.6585,-17.9182,17.86,92,1.34,40
Arrondissement de Saint-Quentin,FR,1640605250,49.8333,3.3333,9.23,86,6.09,100
Itapeva,BR,1640605250,-23.9822,-48.8756,24.74,55,2.07,73
Mahon,ES,1640605251,39.8885,4.2658,17.31,82,4.63,0
Codrington,AU,1640605251,-38.2667,141.9667,12.57,73,7.44,23
Amga,RU,1640605252,60.8953,131.9608,-45.0,100,0.22,99
Vestmanna,FO,1640605252,62.1564,-7.1664,4.51,100,5.14,90
Ndélé,CF,1640605253,8.4109,20.6473,37.69,12,1.8,97
Port Augusta,AU,1640605253,-32.5,137.7667,22.06,57,9.52,0
Thouars,FR,1640605254,46.976,-0.2151,14.19,74,8.15,78
Belyy Yar,RU,1640605254,53.6039,91.3903,-18.06,85,1.0,48
Machico,PT,1640605255,32.7,-16.7667,21.51,86,5.14,75
Okhotsk,RU,1640605255,59.3833,143.3,-28.62,80,8.48,46
Haines Junction,CA,1640605256,60.7522,-137.5108,-11.03,85,0.51,100
Kristinestad,FI,1640605212,62.2743,21.376,-9.0,90,1.85,52
Lagoa,PT,1640605257,39.05,-27.9833,17.59,84,15.73,50
Tomatlán,MX,1640605257,19.9333,-105.25,20.31,77,1.07,35
Brae,GB,1640605258,60.3964,-1.353,5.95,95,11.18,100
Vao,NC,1640605258,-22.6667,167.4833,25.83,82,4.93,73
Pujilí,EC,1640605259,-0.95,-78.6833,8.05,100,1.54,40
Redmond,US,1640605259,47.674,-122.1215,-5.08,84,0.45,94
Rome,US,1640605260,43.2128,-75.4557,-2.71,81,0.0,90
Khatanga,RU,1640605260,71.9667,102.5,-35.79,100,0.43,26
Orlik,RU,1640605261,52.5178,99.825,-17.67,81,0.65,97
Ahipara,NZ,1640605261,-35.1667,173.1667,18.87,95,2.28,100
Umluj,SA,1640605262,25.0213,37.2685,23.55,47,5.84,98
Takoradze,GH,1640605262,4.8845,-1.7554,29.01,69,2.99,62
Barra de Tecoanapa,MX,1640605263,16.5167,-98.75,22.3,80,1.56,0
Saint-Augustin,CA,1640605263,51.226,-58.6502,1.75,77,7.79,95
Longyan,CN,1640605264,25.1072,117.0225,8.1,84,1.69,99
Lapua,FI,1640605264,62.9693,23.0088,-8.62,97,1.33,47
Riyadh,SA,1640605105,24.6877,46.7219,15.08,38,2.4,88
Pāsighāt,IN,1640605265,28.0667,95.3333,15.9,54,1.79,89
Tawao,MY,1640605262,4.2498,117.8871,27.07,88,1.34,100
Vrede,ZA,1640605267,-27.4257,29.1659,19.64,74,5.18,96
Hong Kong,HK,1640605222,22.2855,114.1577,14.41,81,0.45,100
Aklavik,CA,1640605268,68.2191,-135.0107,-16.54,94,7.09,100
Olafsvik,IS,1640605268,64.8945,-23.7142,0.03,73,10.86,73
Lafiagi,NG,1640605269,8.8667,5.4167,36.98,13,1.76,10
Taoudenni,ML,1640605270,22.6783,-3.9836,27.22,18,4.07,0
Tefé,BR,1640605271,-3.3542,-64.7114,26.06,94,1.03,40
Port-Cartier,CA,1640605271,50.0334,-66.8654,-3.88,78,5.39,100
Kasama,ZM,1640605272,-10.2129,31.1808,30.95,26,3.46,56
Warrnambool,AU,1640605272,-38.3833,142.4833,13.78,73,7.56,32
Peleduy,RU,1640605273,59.6289,112.7406,-32.06,100,0.62,74
Marzuq,YE,1640605273,14.4,46.4667,26.96,16,2.67,4
Mayo,US,1640605274,38.8876,-76.5119,5.75,72,3.58,1
Nantucket,US,1640605274,41.2835,-70.0995,3.38,71,7.2,90
Terrace,CA,1640605275,54.5163,-128.6035,-17.54,59,6.17,90
Stabat,ID,1640605276,3.761,98.4513,28.11,88,1.08,41
Meulaboh,ID,1640605276,4.1363,96.1285,26.79,76,0.55,67
Abancay,PE,1640605277,-13.6339,-72.8814,13.58,71,0.85,94
Batagay-Alyta,RU,1640605277,67.8006,130.4114,-26.71,98,1.86,100
Kholm,RU,1640605278,59.2667,32.85,-11.21,95,2.84,99
Mariehamn,AX,1640605278,60.0973,19.9348,-9.08,92,0.51,0
Ampanihy,MG,1640605279,-24.7,44.75,33.51,38,6.21,48
El Paso,US,1640605280,31.8001,-106.2005,11.16,38,2.57,20
Khuzhir,RU,1640605280,53.1939,107.3397,-9.49,65,4.39,58
Garoua,CM,1640605281,9.3,13.4,34.22,15,2.06,0
Bodmin,GB,1640605281,50.4715,-4.7243,13.02,82,9.26,40
Deltona,US,1640605282,28.9005,-81.2637,15.48,91,0.0,1
Boyuibe,BO,1640605282,-20.4167,-63.2833,15.95,36,0.92,74
Dwārka,IN,1640605283,22.2394,68.9678,24.15,63,4.83,54
Ishigaki,JP,1640605280,24.3448,124.1572,15.07,94,8.23,75
Buraidah,SA,1640605284,26.326,43.975,13.25,43,3.16,66
Clyde River,CA,1640605284,70.4692,-68.5914,-25.87,76,5.14,80
Pimenta Bueno,BR,1640605285,-11.6725,-61.1936,24.82,93,1.05,100
Kloulklubed,PW,1640605285,7.0419,134.2556,26.28,81,9.18,71
Bilma,NE,1640605286,18.6853,12.9164,24.41,13,5.32,0
Martyush,RU,1640605286,56.4,61.8819,-14.36,97,3.71,79
Havelock,US,1640605287,34.8791,-76.9013,12.97,79,0.45,1
Sungai Penuh,ID,1640605288,-2.0833,101.3833,19.24,97,0.13,99
Mil'kovo,RU,1640605288,54.7167,158.6167,-10.76,93,6.11,100
Edd,ER,1640605289,13.9297,41.6925,29.98,54,9.31,2
Sinop Province,TR,1640605289,41.7711,34.8709,3.24,94,5.22,99
Goundam,ML,1640605290,16.4145,-3.6708,28.92,9,5.85,94
Yerbogachën,RU,1640605290,61.2767,108.0108,-35.45,99,1.23,20
Pyapon,MM,1640605291,16.2833,95.6833,24.49,62,0.64,0
Mehamn,NO,1640605291,71.0357,27.8492,-2.9,80,2.57,75
Nogliki,RU,1640605292,51.8333,143.1667,-23.15,79,6.68,34
Waspán,NI,1640605292,14.7419,-83.9717,20.72,98,1.16,17
Mucurapo,TT,1640605293,10.6667,-61.5333,25.14,91,3.26,88
Pinega,RU,1640605293,64.7001,43.3936,-27.65,100,1.23,60
Plainview,US,1640605294,40.7765,-73.4673,2.23,69,2.57,1
Pochutla,MX,1640605294,15.7432,-96.4661,20.46,71,1.56,0
Novyy Urgal,RU,1640605295,51.0736,132.5642,-37.67,100,0.57,35
Pacifica,US,1640605296,37.6138,-122.4869,10.09,84,2.68,100
Esna,EG,1640605296,25.2934,32.554,20.01,20,1.41,96
Vrangel',RU,1640605297,42.7297,133.0839,-13.16,60,6.97,10
Chimbote,PE,1640605297,-9.0853,-78.5783,18.81,90,2.36,61
Bilisht,AL,1640605298,40.6275,20.99,7.42,97,1.99,100
Tynda,RU,1640605299,55.1667,124.7167,-32.26,98,1.45,29
Morón,AR,1640605299,-34.6534,-58.6198,26.68,68,1.34,8
Mazagão,BR,1640605300,-0.115,-51.2894,25.03,79,1.74,81
San Francisco de Coray,HN,1640605300,13.6614,-87.5328,17.57,69,1.96,2
Bisira,PA,1640605301,8.5196,-81.7115,13.96,96,2.81,90
Mogadishu,SO,1640605301,2.0371,45.3438,29.93,79,9.77,20
Livádi,GR,1640605302,40.125,22.1517,7.0,71,2.64,100
Beringovskiy,RU,1640605302,63.05,179.3167,-21.55,97,6.7,100
Port Shepstone,ZA,1640605302,-30.7414,30.455,25.34,82,2.53,100
Cabinda,AO,1640605303,-5.55,12.2,24.02,90,1.9,100
Vilhena,BR,1640605304,-12.7406,-60.1458,22.12,100,2.57,90
Otane,NZ,1640605305,-39.8833,176.6333,20.01,79,0.61,100
Yunhe,CN,1640605305,34.0833,119.7167,-1.83,32,2.45,0
Khovd,MN,1640605306,48.0056,91.6419,-18.08,77,1.5,10
Nueva Concepción,GT,1640605306,14.2,-91.3,24.7,70,0.59,0
Rantauprapat,ID,1640605307,2.1,99.8333,24.92,89,1.04,33
Kamaishi,JP,1640605307,39.2667,141.8833,-2.45,72,5.23,41
Turan,VN,1640604744,16.0678,108.2208,20.99,94,6.69,90
Alihe,CN,1640605308,50.5667,123.7167,-23.19,94,1.26,56
Port Hardy,CA,1640605309,50.6996,-127.4199,-5.0,79,2.06,20
Palmer,US,1640605310,42.1584,-72.3287,-0.84,63,0.89,75
Usvyaty,RU,1640605311,55.7456,30.7533,-6.07,92,2.9,98
Vila Velha,BR,1640605311,-20.3297,-40.2925,26.97,75,1.54,0
Vila Franca do Campo,PT,1640605312,37.7167,-25.4333,19.0,87,9.35,62
Manakara,MG,1640605312,-22.1333,48.0167,26.44,84,4.44,70
Tigil',RU,1640605313,57.8,158.6667,-10.41,80,5.56,81
Marabu,MY,1640605313,4.4148,114.0089,27.08,94,1.03,20
Roald,NO,1640605314,62.5833,6.1333,0.18,74,5.14,0
Balkhash,KZ,1640605314,46.844,74.9804,-5.66,73,3.0,0
Bujoreni,RO,1640605315,45.1333,24.35,1.77,98,0.84,100
Härnösand,SE,1640605316,62.6323,17.9379,-8.0,88,1.94,45
Gogrial,SS,1640605316,8.5332,28.1004,34.6,18,2.81,100
Phan Thiet,VN,1640605129,10.9333,108.1,24.15,90,3.3,27
San Carlos,VE,1640605317,9.6612,-68.5827,22.99,75,0.59,61
Rivne,UA,1640605318,50.6231,26.2274,-4.53,70,3.0,0
East London,ZA,1640605319,-33.0153,27.9116,28.52,51,4.63,0
Alexandria,EG,1640605319,31.2156,29.9553,16.3,63,1.03,40
Corn Island,NI,1640605320,12.1694,-83.0418,27.04,78,6.18,12
Torrington,US,1640605320,41.8007,-73.1212,-0.73,81,1.34,24
Paralímni,CY,1640605321,35.0375,33.9833,18.49,63,3.13,49
‘Āhuimanu,US,1640605321,21.4447,-157.8378,22.89,73,3.58,75
Banfora,BF,1640605322,10.6333,-4.7667,34.17,10,4.49,74
Hātod,IN,1640605322,22.8,75.7333,24.18,46,2.57,40
Panguna,PG,1640605323,-6.3164,155.4848,21.71,95,0.49,100
Novochernorechenskiy,RU,1640605324,56.2669,91.0828,-14.5,97,1.12,92
Dengzhou,CN,1640605324,37.8086,120.7508,0.62,63,4.91,3
Sigmaringen,DE,1640605325,48.0833,9.2167,8.48,88,1.01,92
Mulegé,MX,1640605325,26.8833,-111.9833,15.7,72,1.23,8
Necochea,AR,1640605326,-38.5473,-58.7368,19.74,45,2.77,0
Flinders,AU,1640605328,-34.5833,150.8552,16.78,88,0.89,100
Taixing,CN,1640605328,32.1667,120.0136,-0.58,30,1.43,39
Kargil,IN,1640605329,34.5667,76.1,-8.58,66,1.22,97
Carlisle,US,1640605330,40.2015,-77.1889,2.97,76,1.49,86
Port Lincoln,AU,1640605331,-34.7333,135.8667,15.64,75,9.75,1
Sunbury,AU,1640605331,-37.5833,144.7333,15.99,65,1.79,0
Hualmay,PE,1640605332,-11.0964,-77.6139,19.27,89,2.65,98
Zorritos,PE,1640605333,-3.6805,-80.6782,22.24,80,1.29,95
Yumen,CN,1640605333,40.2833,97.2,-8.12,59,4.1,8
Kandrian,PG,1640605334,-6.2167,149.55,26.44,89,2.4,100
Sur,OM,1640605335,22.5667,59.5289,25.32,57,2.41,54
Payson,US,1640605335,40.0444,-111.7321,0.14,71,2.57,90
La Ronge,CA,1640605336,55.1001,-105.2842,-25.86,76,3.09,90
Gushikawa,JP,1640605338,26.3544,127.8686,15.57,63,5.14,90
Departamento de Maldonado,UY,1640605338,-34.6667,-54.9167,20.68,45,2.48,0
Pangkalanbuun,ID,1640605339,-2.6833,111.6167,24.96,92,0.93,100
Havøysund,NO,1640605339,70.9963,24.6622,-2.87,63,5.09,100
Zemio,CF,1640605340,5.0314,25.1361,31.31,32,0.75,100
Egvekinot,RU,1640605341,66.3167,-179.1667,-26.06,84,3.92,100
Katobu,ID,1640605342,-4.9408,122.5276,26.33,80,3.51,99
The Valley,AI,1640605342,18.217,-63.0578,26.72,83,1.54,20
Okoneshnikovo,RU,1640605343,54.8377,75.0834,-14.91,89,4.1,98
Jinchang,CN,1640605343,38.4953,102.1739,-11.1,70,1.46,0
Ust-Kuyga,RU,1640605344,70.0167,135.6,-32.47,100,1.18,100
Itarema,BR,1640605345,-2.9248,-39.9167,27.45,76,5.17,97
Pevek,RU,1640605346,69.7008,170.3133,-32.99,99,1.43,75
Aswān,EG,1640605346,24.0934,32.907,20.61,30,5.66,0
Ixtapa,MX,1640605347,20.7,-105.2,19.01,84,1.42,0
Tandil,AR,1640605348,-37.3217,-59.1332,23.5,47,0.89,0
La Primavera,CO,1640605349,5.4906,-70.4092,25.36,67,3.24,92
Kuna,US,1640605349,43.4918,-116.4201,-2.0,87,0.89,90
Amarante do Maranhão,BR,1640605350,-5.5667,-46.7422,20.87,97,1.86,100
Chivay,PE,1640605351,-15.6383,-71.6011,9.14,53,1.59,100
Uşak Province,TR,1640605351,38.5,29.4167,9.99,58,2.68,100
Talcahuano,CL,1640605352,-36.7167,-73.1167,14.82,82,3.09,0
Shenjiamen,CN,1640605353,29.9576,122.298,3.69,59,4.73,7
Salgueiro,BR,1640605353,-8.0742,-39.1192,24.09,75,3.05,98
Chapleau,CA,1640605354,47.8405,-83.4034,-18.95,78,3.09,75
Camacha,PT,1640605355,33.0833,-16.3333,19.18,77,2.57,20
Genhe,CN,1640605355,50.7833,121.5167,-27.44,99,0.77,46
Seymchan,RU,1640605356,62.8833,152.4333,-32.23,94,1.34,100
Penzance,GB,1640605357,50.1186,-5.5371,12.56,84,12.07,81
Totoral,PE,1640605358,-17.4053,-70.365,19.12,47,1.29,46
Alyangula,AU,1640605359,-13.8483,136.4192,25.93,100,2.57,75
Wilmington,US,1640605359,34.2257,-77.9447,19.36,95,0.0,40
Morant Bay,JM,1640605360,17.8815,-76.4093,25.92,83,5.71,33
Kirakira,SB,1640605360,-10.4544,161.9205,27.42,86,3.15,100
Pisco,PE,1640605361,-13.7,-76.2167,19.03,94,2.06,90
Port Hawkesbury,CA,1640605362,45.6169,-61.3485,1.5,86,4.47,90
Karasjok,NO,1640605362,69.4719,25.5112,-16.94,100,0.9,95
San Miguel de Tucumán,AR,1640605363,-26.8241,-65.2226,25.0,69,1.54,0
Formosa,AR,1640605364,-26.1775,-58.1781,23.99,57,2.57,0
Kuah,MY,1640605365,6.3265,99.8432,30.99,62,2.06,20
Iranshahr,IR,1640605366,27.2025,60.6848,22.19,18,3.09,0
Ilebo,CD,1640605366,-4.3167,20.5833,22.87,97,1.33,100
Moses Lake,US,1640605368,47.1301,-119.2781,-10.77,67,8.23,90
Mattru,SL,1640605368,7.6244,-11.8332,33.06,41,1.32,91
Zyryanka,RU,1640605369,65.75,150.85,-35.12,100,1.76,100
Southbridge,US,1640605369,42.0751,-72.0334,-1.1,79,0.89,11
Bitkine,TD,1640605370,11.9801,18.2138,34.01,12,2.89,21
Pringsewu,ID,1640605371,-5.3582,104.9744,24.57,92,0.5,60
Ginir,ET,1640605372,7.1333,40.7,24.49,26,5.49,80
Skibbereen,IE,1640605372,51.55,-9.2667,9.89,93,9.33,96
Rawson,AR,1640605373,-43.3002,-65.1023,24.6,35,10.01,1
Urengoy,RU,1640605374,65.9667,78.3667,-22.89,89,6.05,33
Ancud,CL,1640605374,-41.8697,-73.8203,14.68,89,2.56,37
Kenai,US,1640605375,60.5544,-151.2583,5.05,93,4.63,1
Ola,RU,1640605376,59.5833,151.2833,-20.91,75,7.06,100
Laela,TZ,1640605376,-8.5667,32.05,28.53,30,3.07,9
Forbes,AU,1640605377,-33.3833,148.0167,19.95,61,7.26,55
Guerrero Negro,MX,1640605377,27.9769,-114.0611,14.47,67,7.41,97
Conakry,GN,1640605206,9.538,-13.6773,31.04,58,3.09,75
Pacific Grove,US,1640605378,36.6177,-121.9166,9.81,90,0.45,100
Bayan,CN,1640605379,46.0833,127.4,-25.51,99,1.5,16
Matara,LK,1640605379,5.9485,80.5353,26.77,75,3.78,0
Comodoro Rivadavia,AR,1640605380,-45.8667,-67.5,22.92,38,10.8,0
Loukhi,RU,1640605381,66.0764,33.0381,-10.98,89,3.74,99
Mbandaka,CD,1640605381,0.0487,18.2603,29.76,57,1.9,100
Otradnoye,RU,1640605382,59.7775,30.8181,-8.97,98,1.38,46
Norfolk,US,1640605383,42.1668,-71.2495,-0.36,80,1.65,10
Botwood,CA,1640605383,49.1499,-55.3482,1.61,97,8.2,100
Laguna,US,1640605384,38.421,-121.4238,9.4,93,2.24,90
Srandakan,ID,1640605385,-7.9386,110.2506,27.05,81,2.29,54
Muisne,EC,1640605385,0.6,-80.0333,23.56,88,3.79,100
Wenling,CN,1640605386,28.3669,121.36,3.9,55,4.28,13
Parksville,CA,1640605387,49.3163,-124.3195,-6.2,68,10.29,55
Prainha,BR,1640605388,-1.8,-53.48,25.99,75,2.02,98
Slave Lake,CA,1640605389,55.2834,-114.769,-34.01,75,1.54,1
Jorochito,BO,1640605390,-18.05,-63.4333,24.85,42,1.18,53
Lima,PE,1640605143,-12.0432,-77.0282,19.14,83,4.63,90
Hatten,DE,1640605392,53.0167,8.35,1.08,91,1.34,99
Price,US,1640605393,39.5994,-110.8107,-7.71,85,3.09,20
Santa Rosa,PH,1640605394,14.3122,121.1114,25.99,76,7.16,99
